Position,Unbalance factor (higher numbers favor White more)
QNRBBKRN,0.20
QRBBKNRN,0.20
QRBKRBNN,0.20
QRKNNRBB,0.20
QRNBBKNR,0.20
RBBKNNRQ,0.20
RBKQRNBN,0.20
RBKRNNBQ,0.20
RBKRNQBN,0.20
RBNQBKRN,0.20
RKBQRBNN,0.20
RKNRNQBB,0.20
RKRNBBQN,0.20
RNBBKNRQ,0.20
RNBBNKQR,0.20
RNKNQBBR,0.20
RNNBQKBR,0.20
RNNQKBBR,0.20
RQKBNNBR,0.20
RQKBNRBN,0.20
RQKBRNBN,0.20
RQKRNBBN,0.20
RQNKNBBR,0.20
BNNBQRKR,0.21
BNNRKBQR,0.21
BNNRKBRQ,0.21
BNRBQKRN,0.21
BNRKNBQR,0.21
BRKNRBQN,0.21
BRKQRBNN,0.21
BRNKRBNQ,0.21
BRNNKBRQ,0.21
BRNQKRNB,0.21
NBBRQNKR,0.21
NBNQRKBR,0.21
NBNRBKRQ,0.21
NNBRKQRB,0.21
NRBKQBNR,0.21
NRBNKBQR,0.21
NRBQKBRN,0.21
NRBQKNRB,0.21
NRKQBRNB,0.21
NRKQRBBN,0.21
QRNBKRBN,0.21
RBNNBKQR,0.21
RBQNKNBR,0.21
RKNRBQNB,0.21
RNKQRBBN,0.21
RQBBKNRN,0.21
RQKRNNBB,0.21
RQNKBBRN,0.21
BBNRKRNQ,0.22
BNRBKNQR,0.22
BNRQKBRN,0.22
BQNBRKNR,0.22
BQRBNKNR,0.22
BQRKRNNB,0.22
BRNQKNRB,0.22
NBRKNQBR,0.22
NBRNKRBQ,0.22
NQNRKRBB,0.22
NRBBKQRN,0.22
NRBKNBRQ,0.22
NRBKRBNQ,0.22
NRKQNBBR,0.22
NRKRNBBQ,0.22
NRNBQKBR,0.22
QBRKBNNR,0.22
QBRNBNKR,0.22
QNNBRKBR,0.22
QRKBBNRN,0.22
QRKNBRNB,0.22
QRKNRBBN,0.22
RBBKQNRN,0.22
RBBNNKRQ,0.22
RBBQNKRN,0.22
RBKNQNBR,0.22
RBQNBKNR,0.22
RKBBRNNQ,0.22
RKBQNRNB,0.22
RKRNBNQB,0.22
RNBKNBRQ,0.22
RNBKNQRB,0.22
RNBKQNRB,0.22
RNBKRBNQ,0.22
RNBQKBNR,0.22
RNKBQNBR,0.22
RNKRBBNQ,0.22
RNKRQBBN,0.22
RNNBBQKR,0.22
RNQNKRBB,0.22
RQBKRNNB,0.22
RQKBBNRN,0.22
RQNKBNRB,0.22
RQNNBKRB,0.22
BBNNRKQR,0.23
BBNQNRKR,0.23
BBQNNRKR,0.23
BNQRKBRN,0.23
